ST,StdPop_ST,Deaths_ST,Crude_ST,AgeAdj_ST,pop.subset,geo.level,table.id,table.name
SD,842816,453,53.74838636,50.41175253,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
TN,6241881,2959,47.40558175,49.46119628,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
TX,19232153,7747,40.2815015,41.90644431,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
UT,1837001,1026,55.85190209,57.30756976,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
VT,668744,444,66.39311904,66.40955584,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
VA,7190640,3456,48.06248123,49.82869617,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
WA,6124724,3529,57.61892291,57.78516081,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
WV,2145505,999,46.56246431,47.89960691,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
WI,5645530,3082,54.59186294,52.29723,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
WY,513539,298,58.02869889,59.65887642,65+ year old,state,m3750744 created 06FEB20:13:58     downloaded 06FEB20:13:59,"Traumatic Brain Injury, All Intents, All Races, All Ethnicities, Both Sexes, Ages 65 thru 85+ Years"
