GEOID,NAME,ST,dist_cent,dist_min,pop12,male,Over65,Over75,Deaths,AgeAdj,Crude,StdPop,dist_cent_sens,dist_min_sens,region,division,RUCC_2013,Urbanization,num_provs
13067,Cobb,GA,2.4562816627926916,0,691820,0.4865384059437426,0.08894943771501257,0.03547165447659796,697,15.91526533,14.20251069,4907583,2.4562816627926916,0,SOUTH,South Atlantic,1,Metro,9
13081,Crisp,GA,34.1063451974706,23.092089965517747,23460,0.4816709292412617,0.14279624893435636,0.06705029838022165,28,17.51112455,17.1078036,163668,34.106410180482094,23.092166384407825,SOUTH,South Atlantic,6,Nonmetro,0
37097,Iredell,NC,17.829050619224862,0,159614,0.4931835553272269,0.12978811382460184,0.05392384126705677,206,18.08025037,18.24297159,1129202,17.829050619224862,0,SOUTH,South Atlantic,1,Metro,1
37169,Stokes,NC,21.53380846183328,11.671051776080231,47224,0.4852193799762832,0.161189225817381,0.06555988480433678,82,23.66920527,24.9134864,329139,18.507781868821834,8.591619245502546,SOUTH,South Atlantic,2,Metro,0
51510,Alexandria,VA,5.305798925196226,3.223477822671664,140337,0.48144822819356264,0.0927196676571396,0.040338613480407876,97,10.31556741,9.683344647,1001720,2.4002928201707014,0,SOUTH,South Atlantic,1,Metro,1
51013,Arlington,VA,1.564070676026444,0,209077,0.4987970938936373,0.08739842259072017,0.03825863198725828,123,9.042586378,8.210734166,1498039,1.5312016814006253,0,SOUTH,South Atlantic,1,Metro,5
13165,Jenkins,GA,28.74088001329646,17.024835508742136,8477,0.45546773622743897,0.16267547481420314,0.07113365577444851,NA,NA,NA,60667,28.71815029601142,17.00398628108807,SOUTH,South Atlantic,6,Nonmetro,0
26073,Isabella,MI,29.439510110763166,17.463471799506745,70186,0.48449833300088335,0.09707064086854929,0.04485224973641467,46,10.94302827,9.351912466,491878,29.54386280166999,17.54452960008527,MIDWEST,East North Central,4,Nonmetro,0
18005,Bartholomew,IN,30.682958297293386,19.538809542314617,77297,0.49386134002613297,0.14000543358733197,0.06207226671151533,82,14.738029,15.02574533,545730,30.682958297293386,19.538809542314617,MIDWEST,East North Central,3,Metro,0
18015,Carroll,IN,19.0288722461953,7.87970138598119,20105,0.4976871425018652,0.16170106938572495,0.07256901268341209,22,15.61688832,15.6524585,140553,19.035840418914663,7.89777998418735,MIDWEST,East North Central,3,Metro,0
16071,Oneida,ID,46.87093233000467,25.19442526749376,4236,0.5351746931067044,0.17516525023607177,0.08404154863078375,NA,NA,NA,29644,47.253533565526084,25.603722216313816,WEST,Mountain,8,Rural,0
17167,Sangamon,IL,3.342855780220792,0,197474,0.48030626816694855,0.13932467058954598,0.0663125272187731,274,18.39528338,19.78417916,1384945,3.342855780220792,0,MIDWEST,East North Central,3,Metro,8
18163,Vanderburgh,IN,6.497745475025329,0,179610,0.4824787038583598,0.1448416012471466,0.0730137520182618,249,18.33474989,19.74080091,1261347,6.496440777605833,0,MIDWEST,East North Central,2,Metro,3
18165,Vermillion,IN,25.657247458253234,8.507418425067563,16224,0.49550049309664695,0.16944033530571992,0.07729289940828403,24,18.86740183,21.31609098,112591,25.653383609176664,8.503392137399715,MIDWEST,East North Central,3,Metro,0
18169,Wabash,IN,34.17083050013344,18.93286104776668,32804,0.48850749908547736,0.18284355566394342,0.09288501402268017,38,12.76617332,16.61049696,228771,31.45792598774822,20.730262374441146,MIDWEST,East North Central,6,Nonmetro,0
54055,Mercer,WV,27.080889405650574,13.83928500199672,62251,0.47716502546143835,0.18027019646270742,0.08395045862717065,116,23.9608519,26.68022145,434779,27.084781804285825,13.843131595492023,SOUTH,South Atlantic,4,Nonmetro,0
13299,Ware,GA,67.39666179146106,36.067029340754345,36099,0.49674506219008835,0.15241419429901104,0.0728552037452561,58,21.28124111,23.05502997,251572,67.39666179146106,36.067029340754345,SOUTH,South Atlantic,5,Nonmetro,0
26093,Livingston,MI,24.280461736963755,7.81479393567591,181678,0.49958167747333193,0.12146214731558032,0.04814562027323066,176,14.08049334,13.76554,1278555,24.280461736963755,7.81479393567591,MIDWEST,East North Central,1,Metro,0
17203,Woodford,IL,20.798988764963642,3.540264208689179,38736,0.49256505576208176,0.14833746385790997,0.07447852127220157,43,14.66413789,15.81050921,271971,20.800363046050922,3.5454113332225865,MIDWEST,East North Central,2,Metro,0
