GEOID,dist_nsg_cent,dist_nsg_min,dist_trm_cent,dist_trm_min,dist_nsg_cent.npiAddress,dist_nsg_min.npiAddress,dist_nsg_cent.facility,dist_nsg_min.facility
28117,28.870526011700044,18.68948437949284,20.88575667711019,12.275504993076275,28.889803215874235,18.70545725423924,28.48068093174031,18.398482769693327
37057,5.890973647943281,0,12.837625050577309,1.773255207945795,7.18530055407464,0,12.837625050577309,1.773255207945795
37145,23.12081850041493,13.499634914164114,23.537836231173426,13.833829869910831,23.12081850041493,13.499634914164114,23.52438855618692,13.852053574551261
40117,31.721032148624523,14.969050080218004,31.927227062707207,14.103984852556529,33.67341852475913,16.182303752538665,33.69770465147831,15.214947253162272
47175,30.38904065178773,23.47620303344408,47.43264994489637,35.65049508514299,30.39731454224965,23.484434349958732,47.43264994489637,35.65049508514299
31129,37.09096444874104,17.6570700854021,24.90787935652884,12.003888475374303,58.28343325640928,40.021335593987,52.245112179269405,35.91712939939243
48473,19.580106545080607,2.862022585357502,19.51159629660009,2.4065084061713082,19.544621806425038,2.4249025589632347,19.51159629660009,2.4065084061713082
48229,45.46219578236116,17.887299877257153,52.54824051004494,4.830901393868227,45.46300512231446,17.8889431829396,44.854124428874584,15.992571528514224
51115,26.794419564175072,18.526226266417233,27.288385005282635,20.456595708656586,27.550951569656362,19.320545535152007,26.418605180661526,18.27904229462191
13159,31.23015286159883,16.722701567203938,36.41375590393734,22.091340292800147,31.23015286159883,16.722701567203938,36.41375590393734,22.091340292800147
46093,16.771006652981626,5.715600008059244,13.031772682929722,0,16.773810069064606,5.715742948029728,17.18065620642416,5.948764928778018
48139,15.787945893115952,6.875512219935758,13.01961890696926,0,23.224382369243013,9.36882849454956,13.197807812472128,1.4433840833689477
05113,57.17025415257959,42.720047149001054,5.175674476188735,0,57.17025415257959,42.720047149001054,59.626801482062625,44.56346061064099
08014,3.8226179733592045,1.090220190737793,3.0115890642720458,0.8028865248266788,6.224443234458254,4.24652827849585,3.0115890642720458,0.8028865248266788
21095,42.91916548496035,29.01753717840763,23.6135888306645,13.670875858001146,42.9075582652274,29.005330404444134,28.408748915641727,17.864528885764425
47003,16.30626850155849,2.8171374155479585,47.396983954510915,31.77435411484146,16.305529794422576,2.8162647787636135,15.927328441616229,2.555009471759425
12017,23.208783077286363,11.144666080390493,53.87773979357369,41.37785142327281,25.651630644357706,12.865515928628753,28.68058684488468,16.22085349297701
41009,16.823357359341635,2.6253632062767522,25.690453905375062,11.957467516789746,24.79761080274233,12.939718090412704,17.98787963498444,5.417360296339114
12127,9.74675435309076,0,9.731816583866184,0,9.742993540956684,0,9.731816583866184,0
28025,42.05088618136648,29.16526902296438,1.8615925194892053,0,42.02948715166318,29.144128958462716,16.655269981862403,2.4740578876136574
36095,25.094213089521975,13.545767841021307,23.68911859244648,11.646908514791832,25.094213089521975,13.545767841021307,23.68911859244648,11.646908514791832
22095,20.16421937866173,10.148434692699482,20.2807234685478,11.23970126283562,14.869104725484254,8.09140429159586,14.445882409148773,7.879425136710378
13237,35.047036284902624,20.326663064113276,37.53231505977395,23.935637056907318,35.047036284902624,20.326663064113276,37.53231505977395,23.935637056907318
06085,1.1784341512438103,0,1.1832261989498325,0,1.2679064184646707,0,1.1832261989498325,0
18009,1.467139556396247,0,39.58555205172824,32.54274501205561,19.196566464352465,12.549866074391266,17.909633616001027,11.094889195965335
